roc_w,smooth,trend,roc_b,roc_s,tp,sl,train_sharpe,test_sharpe,test_wr%,test_pnl,test_dd%,test_n,pass
5,3,200,3.0,-2.0,0.03,0.02,0.96,-1.35,33.3,-21.06,-2.37,30,no
5,3,200,3.0,-2.0,0.03,0.02,0.94,-1.58,32.3,-23.95,-2.66,31,no
5,3,200,3.0,-2.0,0.03,0.03,0.62,-0.82,44.8,-15.34,-1.84,29,no
5,3,200,3.0,-2.0,0.03,0.03,0.45,-0.92,43.3,-16.71,-1.98,30,no
5,3,200,3.0,-3.0,0.03,0.02,0.31,-0.02,41.7,-0.22,-0.51,12,no
10,3,200,2.0,-2.0,0.03,0.02,0.29,0.1,45.8,2.26,-3.48,72,no
5,3,200,2.0,-2.0,0.03,0.03,0.26,-0.54,47.6,-11.23,-2.6,42,no
10,3,200,2.0,-2.0,0.03,0.03,0.25,0.72,54.5,18.63,-3.91,66,YES
5,3,200,3.0,-3.0,0.03,0.02,0.21,-0.02,41.7,-0.22,-0.51,12,no
10,3,200,2.0,-2.0,0.03,0.03,0.2,0.59,52.9,14.81,-3.92,68,YES
